Chart Properties
---------------------------------------------------------------------------------
Enabled:,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Visible:,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Ambient:,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Process Color:,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,
Ambient Color:,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,
Process Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Ambient Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Logging Process Units:,Process,Process,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
Logging Ambient Units:,°F,°F,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
---------------------------------------------------------------------------------

Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P Process
0,06/07/2016,3:29:09 PM,-2
1,06/07/2016,3:29:24 PM,-2
2,06/07/2016,3:29:39 PM,-2
3,06/07/2016,3:29:54 PM,-2
4,06/07/2016,3:30:09 PM,-2
5,06/07/2016,3:30:24 PM,-2
6,06/07/2016,3:30:39 PM,-3
7,06/07/2016,3:30:54 PM,-3
8,06/07/2016,3:31:09 PM,-3
9,06/07/2016,3:31:24 PM,-3
10,06/07/2016,3:31:39 PM,-3
11,06/07/2016,3:31:54 PM,-3
12,06/07/2016,3:32:09 PM,-3
13,06/07/2016,3:32:24 PM,-3
14,06/07/2016,3:32:39 PM,-3
15,06/07/2016,3:32:54 PM,-3
16,06/07/2016,3:33:09 PM,-3
17,06/07/2016,3:33:24 PM,-3
18,06/07/2016,3:33:39 PM,-3
19,06/07/2016,3:33:54 PM,-3
20,06/07/2016,3:34:09 PM,-3
21,06/07/2016,3:34:24 PM,-3
22,06/07/2016,3:34:39 PM,-3
23,06/07/2016,3:34:54 PM,-3
24,06/07/2016,3:35:09 PM,-3
25,06/07/2016,3:35:24 PM,-3
26,06/07/2016,3:35:39 PM,-3
27,06/07/2016,3:35:54 PM,-3
28,06/07/2016,3:36:09 PM,-3
29,06/07/2016,3:36:24 PM,-3
30,06/07/2016,3:36:39 PM,-3
31,06/07/2016,3:36:54 PM,-3
32,06/07/2016,3:37:09 PM,-3
33,06/07/2016,3:37:24 PM,-3
34,06/07/2016,3:37:39 PM,-3
35,06/07/2016,3:37:54 PM,-3
36,06/07/2016,3:38:09 PM,-3
37,06/07/2016,3:38:24 PM,-3
38,06/07/2016,3:38:39 PM,-3
39,06/07/2016,3:38:54 PM,-3
40,06/07/2016,3:39:09 PM,-3
41,06/07/2016,3:39:24 PM,-2
42,06/07/2016,3:39:39 PM,-2
43,06/07/2016,3:39:54 PM,-2
44,06/07/2016,3:40:09 PM,-2
45,06/07/2016,3:40:24 PM,-2
46,06/07/2016,3:40:39 PM,-2
47,06/07/2016,3:40:54 PM,-2
48,06/07/2016,3:41:09 PM,-2
49,06/07/2016,3:41:24 PM,-3
50,06/07/2016,3:41:39 PM,-3
51,06/07/2016,3:41:54 PM,-3
52,06/07/2016,3:42:09 PM,-3
53,06/07/2016,3:42:24 PM,-3
54,06/07/2016,3:42:39 PM,-3
55,06/07/2016,3:42:54 PM,-3
56,06/07/2016,3:43:09 PM,-3
57,06/07/2016,3:43:24 PM,-3
58,06/07/2016,3:43:39 PM,-3
59,06/07/2016,3:43:54 PM,-3
60,06/07/2016,3:44:09 PM,-3
61,06/07/2016,3:44:24 PM,-3
