Chart Properties
---------------------------------------------------------------------------------
Enabled:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Visible:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Ambient:,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Process Color:,-65536,-16744193,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,
Ambient Color:,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,
Process Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Ambient Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Logging Process Units:,Process,Process,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
Logging Ambient Units:,°F,°F,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
---------------------------------------------------------------------------------

Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P Process,2-P Process
0,06/14/2016,11:31:52 AM,-2,1
1,06/14/2016,11:32:07 AM,-2,1
2,06/14/2016,11:32:22 AM,-2,1
3,06/14/2016,11:32:37 AM,-2,1
4,06/14/2016,11:32:52 AM,-2,1
5,06/14/2016,11:33:07 AM,1836,1
6,06/14/2016,11:33:22 AM,1836,5475
7,06/14/2016,11:33:37 AM,5479,5475
8,06/14/2016,11:33:52 AM,5479,5475
9,06/14/2016,11:34:07 AM,5479,5475
10,06/14/2016,11:34:22 AM,5479,5476
11,06/14/2016,11:34:37 AM,5479,5476
12,06/14/2016,11:34:52 AM,5479,5476
13,06/14/2016,11:35:07 AM,5479,5476
14,06/14/2016,11:35:22 AM,5479,5476
15,06/14/2016,11:35:37 AM,5479,5476
16,06/14/2016,11:35:52 AM,5479,5476
17,06/14/2016,11:36:07 AM,5479,5476
18,06/14/2016,11:36:22 AM,5479,5476
19,06/14/2016,11:36:37 AM,5479,5476
20,06/14/2016,11:36:52 AM,5479,5476
21,06/14/2016,11:37:07 AM,5479,5476
22,06/14/2016,11:37:22 AM,5479,5476
23,06/14/2016,11:37:37 AM,5479,5476
24,06/14/2016,11:37:52 AM,5479,5476
25,06/14/2016,11:38:07 AM,5479,5476
26,06/14/2016,11:38:22 AM,5479,4586
27,06/14/2016,11:38:37 AM,5479,4586
28,06/14/2016,11:38:52 AM,5479,1837
29,06/14/2016,11:39:07 AM,5304,1496
30,06/14/2016,11:39:22 AM,5304,1496
31,06/14/2016,11:39:37 AM,5214,1501
32,06/14/2016,11:39:52 AM,4978,1609
33,06/14/2016,11:40:07 AM,4978,1639
34,06/14/2016,11:40:22 AM,5146,1639
35,06/14/2016,11:40:37 AM,4884,1139
36,06/14/2016,11:40:52 AM,4884,943
37,06/14/2016,11:41:07 AM,4805,943
38,06/14/2016,11:41:22 AM,4805,1267
39,06/14/2016,11:41:37 AM,4625,1216
40,06/14/2016,11:41:52 AM,5048,1216
41,06/14/2016,11:42:07 AM,5048,788
42,06/14/2016,11:42:22 AM,5010,1392
43,06/14/2016,11:42:37 AM,4679,1392
44,06/14/2016,11:42:52 AM,4679,820
45,06/14/2016,11:43:07 AM,4679,1259
46,06/14/2016,11:43:22 AM,4679,5476
47,06/14/2016,11:43:37 AM,5478,5476
48,06/14/2016,11:43:52 AM,5478,5476
49,06/14/2016,11:44:07 AM,5478,5476
50,06/14/2016,11:44:22 AM,5478,5476
51,06/14/2016,11:44:37 AM,5479,5476
52,06/14/2016,11:44:52 AM,5479,5476
53,06/14/2016,11:45:07 AM,5479,5476
54,06/14/2016,11:45:22 AM,5479,5476
55,06/14/2016,11:45:37 AM,5479,5476
56,06/14/2016,11:45:52 AM,5479,5476
57,06/14/2016,11:46:07 AM,5479,5476
58,06/14/2016,11:46:22 AM,5479,5476
59,06/14/2016,11:46:37 AM,5479,5476
60,06/14/2016,11:46:52 AM,5479,5476
61,06/14/2016,11:47:07 AM,5479,5476
62,06/14/2016,11:47:22 AM,5479,5476
63,06/14/2016,11:47:37 AM,5479,5476
64,06/14/2016,11:47:52 AM,5479,5476
65,06/14/2016,11:48:07 AM,5479,5476
66,06/14/2016,11:48:22 AM,5479,5476
67,06/14/2016,11:48:37 AM,5428,3280
68,06/14/2016,11:48:52 AM,5428,952
69,06/14/2016,11:49:07 AM,5123,1038
70,06/14/2016,11:49:22 AM,5123,1038
71,06/14/2016,11:49:37 AM,4889,1097
72,06/14/2016,11:49:52 AM,4707,656
73,06/14/2016,11:50:07 AM,4707,656
74,06/14/2016,11:50:22 AM,4575,1169
75,06/14/2016,11:50:37 AM,4575,771
76,06/14/2016,11:50:52 AM,4575,771
77,06/14/2016,11:51:07 AM,4574,1094
78,06/14/2016,11:51:22 AM,4309,721
79,06/14/2016,11:51:37 AM,4309,721
