Chart Properties
---------------------------------------------------------------------------------
Enabled:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Visible:,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Ambient:,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Process Color:,-65536,-16744193,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,-65536,
Ambient Color:,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,-16776961,
Process Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Ambient Left Axis:,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Logging Process Units:,Process,Process,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
Logging Ambient Units:,°F,°F,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,
---------------------------------------------------------------------------------

Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P Process,2-P Process
0,06/13/2016,10:40:12 AM,-1210,1
1,06/13/2016,10:40:27 AM,-1210,1
2,06/13/2016,10:40:42 AM,-1210,1
3,06/13/2016,10:40:57 AM,-1210,1
4,06/13/2016,10:41:12 AM,0,1
5,06/13/2016,10:41:27 AM,0,1
6,06/13/2016,10:41:42 AM,0,1
7,06/13/2016,10:41:57 AM,0,1
8,06/13/2016,10:42:12 AM,0,1
9,06/13/2016,10:42:27 AM,0,1
10,06/13/2016,10:42:42 AM,0,1
11,06/13/2016,10:42:57 AM,0,1
12,06/13/2016,10:43:12 AM,0,1
13,06/13/2016,10:43:27 AM,0,1
14,06/13/2016,10:43:42 AM,0,1
15,06/13/2016,10:43:57 AM,0,1
16,06/13/2016,10:44:12 AM,0,1
17,06/13/2016,10:44:27 AM,0,1
18,06/13/2016,10:44:42 AM,-1,1
19,06/13/2016,10:44:57 AM,-1,1
20,06/13/2016,10:45:12 AM,-1,1
21,06/13/2016,10:45:27 AM,-1,1
22,06/13/2016,10:45:42 AM,-1,1
23,06/13/2016,10:45:57 AM,-1,1
24,06/13/2016,10:46:12 AM,-1,1
25,06/13/2016,10:46:27 AM,-1,1
26,06/13/2016,10:46:42 AM,-1,1
27,06/13/2016,10:46:57 AM,-1,1
28,06/13/2016,10:47:12 AM,-1,1
29,06/13/2016,10:47:27 AM,-1,1
30,06/13/2016,10:47:42 AM,-1,1
31,06/13/2016,10:47:57 AM,-1,1
32,06/13/2016,10:48:12 AM,-1,1
33,06/13/2016,10:48:27 AM,-1,1
34,06/13/2016,10:48:42 AM,-1,1
35,06/13/2016,10:48:57 AM,-1,1
36,06/13/2016,10:49:12 AM,-1,1
37,06/13/2016,10:49:27 AM,-1,1
38,06/13/2016,10:49:42 AM,-1,1
39,06/13/2016,10:49:57 AM,-1,1
40,06/13/2016,10:50:12 AM,-1,1
41,06/13/2016,10:50:27 AM,-1,1
42,06/13/2016,10:50:42 AM,-1,1
43,06/13/2016,10:50:57 AM,-1,1
44,06/13/2016,10:51:12 AM,-1,1
45,06/13/2016,10:51:27 AM,-1,1
46,06/13/2016,10:51:42 AM,-1,1
47,06/13/2016,10:51:57 AM,-1,1
48,06/13/2016,10:52:12 AM,-1,1
49,06/13/2016,10:52:27 AM,-1,1
50,06/13/2016,10:52:42 AM,-1,1
51,06/13/2016,10:52:57 AM,-1,1
52,06/13/2016,10:53:12 AM,-1,1
53,06/13/2016,10:53:27 AM,-1,1
54,06/13/2016,10:53:42 AM,-1,1
55,06/13/2016,10:53:57 AM,-1,1
56,06/13/2016,10:54:12 AM,-1,1
57,06/13/2016,10:54:27 AM,-1,1
58,06/13/2016,10:54:42 AM,-1,1
